Originated,Translation
V6B,G3
V6C,G3
V6E,G3
V6G,G3
V6H,G3
V6J,G3
V6K,G3
V6L,G3
V6M,G3
V6N,G3
V6P,G3
V6R,G3
V6S,G3
V6T,G3
V6V,G3
V6W,G3
V6X,G3
V6Y,G3
V6Z,G3
V7A,G3
V7B,G3
V7C,G3
V7E,G3
V7G,G3
V7H,G3
V7J,G3
V7K,G3
V7L,G3
V7M,G3
V7N,G3
V7P,G3
V7R,G3
V7S,G3
V7T,G3
V7V,G3
V7W,G3
V7X,G3
V7Y,G3
V8A,H1
V8B,H1
V8C,H1
V8G,H1
V8J,H1
V8K,H1
V8L,H1
V8M,G1
V8N,G1
V8P,G1
V8R,G1
V8S,G1
V8T,G1
V8V,G1
V8W,G1
V8X,G1
V8Y,G1
V8Z,G1
V9A,G1
V9B,G1
V9C,G1
V9E,G1
V9G,H1
V9H,H1
V9J,H1
V9K,H1
V9L,H1
V9M,H1
V9N,H1
V9P,H1
V9R,G1
V9S,G1
V9T,G1
V9V,G1
V9W,H1
V9X,G1
V9Y,H1
V9Z,H1
X0A,H5
X0A (Air Stage/Omnibus),J2
X0B,H5
X0B (Air Stage/Omnibus),J2
X0C,H5
X0C (Air Stage/Omnibus),J2
X0E,H5
X0E (Air Stage/Omnibus),J2
X0G,H5
X1A,G1
Y0A,H5
Y0B,H5
Y0B (Air Stage/Omnibus),J2
Y1A,G1
