Volumetric Equivalent,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,H1,H2,H3,H4,H5,J1,J2
5.5,15.84,16.2,15.84,15.99,17.36,17.8,17.84,17.83,18.3,18.25,18.57,18.98,19.72,17.96,18.81,18.48,23.14,23.04,24.72,24.7,25.31,23.22,23.75,38.29,37.93,38.11,38.29,38.48,41.94,42.36,53.09,53.62,55.36,55.91,52.12,51.62,51.74,51.62,58.18,57.61,71.73,71.03,71.73,47.06,51.4
6,16.24,16.62,16.24,16.39,17.79,18.26,18.3,18.28,18.77,18.71,19.03,19.46,20.22,18.41,19.29,18.94,23.73,23.63,25.34,25.32,25.96,23.8,24.35,39.69,39.3,39.49,39.69,39.87,43.54,43.96,54.88,55.42,57.24,57.79,54.69,54.16,54.3,54.17,61.03,60.43,75.14,74.41,75.21,49.86,54.42
6.5,16.63,17.04,16.63,16.79,18.22,18.7,18.75,18.72,19.23,19.16,19.5,19.94,20.72,18.87,19.76,19.4,24.31,24.21,25.97,25.95,26.59,24.4,24.95,41.07,40.67,40.87,41.07,41.27,45.11,45.55,56.64,57.21,59.09,59.67,57.25,56.7,56.84,56.7,63.87,63.25,78.54,77.77,78.68,52.63,57.43
7,17.02,17.46,17.03,17.18,18.63,19.15,19.2,19.17,19.69,19.62,19.96,20.43,21.23,19.33,20.23,19.86,24.89,24.78,26.59,26.57,27.23,24.98,25.54,42.44,42.03,42.24,42.44,42.65,46.69,47.15,58.41,59,60.95,61.54,59.79,59.22,59.37,59.22,66.7,66.05,81.92,81.12,82.13,55.41,60.41
7.5,17.41,17.88,17.42,17.57,19.06,19.6,19.65,19.62,20.15,20.07,20.42,20.91,21.73,19.78,20.7,20.32,25.48,25.36,27.21,27.19,27.87,25.56,26.14,43.82,43.39,43.6,43.82,44.03,48.25,48.72,60.17,60.77,62.79,63.41,62.33,61.73,61.87,61.73,69.52,68.83,85.29,84.46,85.56,58.18,63.4
8,17.81,18.3,17.8,17.97,19.47,20.04,20.09,20.06,20.6,20.54,20.89,21.39,22.22,20.22,21.16,20.76,26.05,25.93,27.83,27.81,28.5,26.13,26.73,45.18,44.74,44.96,45.18,45.4,49.81,50.3,61.93,62.54,64.62,65.26,64.85,64.23,64.38,64.23,72.32,71.6,88.65,87.78,88.99,60.93,66.37
8.5,18.2,18.71,18.19,18.36,19.89,20.48,20.53,20.5,21.06,20.99,21.34,21.87,22.73,20.67,21.63,21.22,26.62,26.51,28.44,28.42,29.13,26.7,27.32,46.54,46.09,46.31,46.54,46.76,51.36,51.86,63.67,64.3,66.45,67.11,67.37,66.71,66.88,66.72,75.11,74.37,91.99,91.09,92.39,63.67,69.34
9,18.58,19.13,18.58,18.75,20.31,20.92,20.97,20.94,21.51,21.43,21.8,22.35,23.22,21.12,22.09,21.67,27.19,27.08,29.06,29.03,29.76,27.29,27.91,47.9,47.43,47.66,47.9,48.12,52.9,53.42,65.4,66.05,68.27,68.95,69.87,69.19,69.37,69.2,77.89,77.12,95.31,94.39,95.78,66.41,72.31
9.5,18.96,19.54,18.96,19.14,20.72,21.36,21.41,21.38,21.96,21.88,22.25,22.82,23.71,21.57,22.56,22.12,27.77,27.64,29.66,29.64,30.38,27.85,28.49,49.24,48.76,49,49.24,49.48,54.44,54.97,67.13,67.8,70.09,70.77,72.37,71.66,71.84,71.67,80.65,79.85,98.63,97.66,99.16,69.15,75.25
10,19.34,19.95,19.34,19.53,21.13,21.79,21.85,21.82,22.41,22.33,22.7,23.29,24.2,22,23.02,22.55,28.33,28.2,30.26,30.24,31,28.42,29.07,50.58,50.09,50.34,50.58,50.83,55.97,56.52,68.86,69.53,71.9,72.6,74.85,74.12,74.3,74.12,83.41,82.58,101.93,100.93,102.52,73.02,78.85
